id,category,name,address,expected_zipcode,expected_status,expected_reason,actual_zipcode,actual_status,actual_reason,actual_normalized,actual_source,match_zip,match_status,verified,notes,seed_mode
G001,exact,案例G001,臺北市大安區愛國東路216號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,大安森林公園附近／郵政常見測資,post_ws
G002,exact,案例G002,臺北市信義區信義路五段7號,110615,exact,中華郵政查詢成功,110615,exact,中華郵政查詢成功,臺北市信義區信義路五段7號,cache,Y,Y,pending,台北101,post_ws
G003,exact,案例G003,臺北市信義區松仁路58號,110049,exact,中華郵政查詢成功,110049,exact,中華郵政查詢成功,臺北市信義區松仁路58號,post_ws,Y,Y,pending,信義商圈,post_ws
G004,exact,案例G004,臺北市中正區重慶南路一段122號,100005,exact,中華郵政查詢成功,100005,exact,中華郵政查詢成功,臺北市中正區重慶南路一段122號,post_ws,Y,Y,pending,總統府周邊,post_ws
G005,exact,案例G005,臺北市中正區忠孝東路一段9號,100009,exact,中華郵政查詢成功,100009,exact,中華郵政查詢成功,臺北市中正區忠孝東路一段9號,post_ws,Y,Y,pending,台北車站周邊,post_ws
G006,exact,案例G006,臺北市中山區南京東路二段100號,104491,exact,中華郵政查詢成功,104491,exact,中華郵政查詢成功,臺北市中山區南京東路二段100號,cache,Y,Y,pending,南京東路商圈,post_ws
G007,exact,案例G007,臺北市中山區中山北路二段48號,104016,exact,中華郵政查詢成功,104016,exact,中華郵政查詢成功,臺北市中山區中山北路二段48號,post_ws,Y,Y,pending,中山北路,post_ws
G008,exact,案例G008,臺北市松山區南京東路四段133號,105041,exact,使用本地Fallback成功,105041,exact,使用本地Fallback成功,臺北市松山區南京東路四段133號,local,Y,Y,pending,松山南京東,post_ws
G009,exact,案例G009,臺北市大安區敦化南路一段245號,106057,exact,中華郵政查詢成功,106057,exact,中華郵政查詢成功,臺北市大安區敦化南路一段245號,cache,Y,Y,pending,敦化南路,post_ws
G010,exact,案例G010,臺北市大安區忠孝東路四段45號,106070,exact,中華郵政查詢成功,106070,exact,中華郵政查詢成功,臺北市大安區忠孝東路四段45號,post_ws,Y,Y,pending,忠孝東路四段,post_ws
G011,exact,案例G011,臺北市大安區復興南路一段390號,106470,exact,中華郵政查詢成功,106470,exact,中華郵政查詢成功,臺北市大安區復興南路一段390號,post_ws,Y,Y,pending,復興南路,post_ws
